Your Input	WormBase Gene ID	UniProt	Reference UniProt ID
WBGene00014502	WBGene00014502	N.A.	N.A.
WBGene00014503	WBGene00014503	N.A.	N.A.
WBGene00014504	WBGene00014504	N.A.	N.A.
WBGene00014505	WBGene00014505	N.A.	N.A.
WBGene00014506	WBGene00014506	N.A.	N.A.
WBGene00014507	WBGene00014507	N.A.	N.A.
WBGene00014508	WBGene00014508	N.A.	N.A.
WBGene00014509	WBGene00014509	N.A.	N.A.
WBGene00014510	WBGene00014510	N.A.	N.A.
WBGene00014511	WBGene00014511	N.A.	N.A.
WBGene00014512	WBGene00014512	N.A.	N.A.
WBGene00014513	WBGene00014513	N.A.	N.A.
WBGene00014514	WBGene00014514	N.A.	N.A.
WBGene00014515	WBGene00014515	N.A.	N.A.
WBGene00014516	WBGene00014516	N.A.	N.A.
WBGene00014517	WBGene00014517	N.A.	N.A.
WBGene00014518	WBGene00014518	N.A.	N.A.
WBGene00014519	WBGene00014519	N.A.	N.A.
WBGene00014520	WBGene00014520	N.A.	N.A.
WBGene00014521	WBGene00014521	N.A.	N.A.
WBGene00014522	WBGene00014522	N.A.	N.A.
WBGene00014523	WBGene00014523	N.A.	N.A.
WBGene00014524	WBGene00014524	N.A.	N.A.
WBGene00014525	WBGene00014525	N.A.	N.A.
WBGene00014526	WBGene00014526	N.A.	N.A.
WBGene00014527	WBGene00014527	N.A.	N.A.
WBGene00014528	WBGene00014528	N.A.	N.A.
WBGene00014529	WBGene00014529	N.A.	N.A.
WBGene00014530	WBGene00014530	N.A.	N.A.
WBGene00014531	WBGene00014531	N.A.	N.A.
WBGene00014532	WBGene00014532	N.A.	N.A.
WBGene00014533	WBGene00014533	N.A.	N.A.
WBGene00014534	WBGene00014534	N.A.	N.A.
WBGene00014535	WBGene00014535	N.A.	N.A.
WBGene00014536	WBGene00014536	N.A.	N.A.
WBGene00014537	WBGene00014537	N.A.	N.A.
WBGene00014538	WBGene00014538	N.A.	N.A.
WBGene00014539	WBGene00014539	N.A.	N.A.
WBGene00014540	WBGene00014540	N.A.	N.A.
WBGene00014541	WBGene00014541	N.A.	N.A.
WBGene00014542	WBGene00014542	N.A.	N.A.
WBGene00014543	WBGene00014543	N.A.	N.A.
WBGene00014544	WBGene00014544	N.A.	N.A.
WBGene00014545	WBGene00014545	N.A.	N.A.
WBGene00014546	WBGene00014546	N.A.	N.A.
WBGene00014547	WBGene00014547	N.A.	N.A.
WBGene00014548	WBGene00014548	N.A.	N.A.
WBGene00014549	WBGene00014549	N.A.	N.A.
WBGene00014550	WBGene00014550	N.A.	N.A.
WBGene00014551	WBGene00014551	N.A.	N.A.
WBGene00014552	WBGene00014552	N.A.	N.A.
WBGene00014553	WBGene00014553	N.A.	N.A.
WBGene00014554	WBGene00014554	N.A.	N.A.
WBGene00014555	WBGene00014555	N.A.	N.A.
WBGene00014556	WBGene00014556	N.A.	N.A.
WBGene00014557	WBGene00014557	N.A.	N.A.
WBGene00014558	WBGene00014558	N.A.	N.A.
WBGene00014559	WBGene00014559	N.A.	N.A.
WBGene00014560	WBGene00014560	N.A.	N.A.
WBGene00014561	WBGene00014561	N.A.	N.A.
WBGene00014562	WBGene00014562	N.A.	N.A.
WBGene00014563	WBGene00014563	N.A.	N.A.
WBGene00014564	WBGene00014564	N.A.	N.A.
WBGene00014565	WBGene00014565	N.A.	N.A.
WBGene00014566	WBGene00014566	N.A.	N.A.
WBGene00014567	WBGene00014567	N.A.	N.A.
WBGene00014568	WBGene00014568	N.A.	N.A.
WBGene00014569	WBGene00014569	D3NQA5, G5EFW1	D3NQA5
WBGene00014570	WBGene00014570	N.A.	N.A.
WBGene00014571	WBGene00014571	N.A.	N.A.
WBGene00014572	WBGene00014572	N.A.	N.A.
WBGene00014573	WBGene00014573	N.A.	N.A.
WBGene00014574	WBGene00014574	N.A.	N.A.
WBGene00014575	WBGene00014575	N.A.	N.A.
WBGene00014576	WBGene00014576	N.A.	N.A.
WBGene00014577	WBGene00014577	N.A.	N.A.
WBGene00014578	WBGene00014578	N.A.	N.A.
WBGene00014579	WBGene00014579	N.A.	N.A.
WBGene00014580	WBGene00014580	N.A.	N.A.
WBGene00014581	WBGene00014581	N.A.	N.A.
WBGene00014582	WBGene00014582	N.A.	N.A.
WBGene00014583	WBGene00014583	N.A.	N.A.
WBGene00014584	WBGene00014584	N.A.	N.A.
WBGene00014585	WBGene00014585	N.A.	N.A.
WBGene00014586	WBGene00014586	N.A.	N.A.
WBGene00014587	WBGene00014587	N.A.	N.A.
WBGene00014588	WBGene00014588	N.A.	N.A.
WBGene00014589	WBGene00014589	N.A.	N.A.
WBGene00014590	WBGene00014590	N.A.	N.A.
WBGene00014591	WBGene00014591	N.A.	N.A.
WBGene00014592	WBGene00014592	N.A.	N.A.
WBGene00014593	WBGene00014593	N.A.	N.A.
WBGene00014594	WBGene00014594	N.A.	N.A.
WBGene00014595	WBGene00014595	N.A.	N.A.
WBGene00014596	WBGene00014596	N.A.	N.A.
WBGene00014597	WBGene00014597	N.A.	N.A.
WBGene00014598	WBGene00014598	N.A.	N.A.
WBGene00014599	WBGene00014599	N.A.	N.A.
WBGene00014600	WBGene00014600	N.A.	N.A.
WBGene00014601	WBGene00014601	N.A.	N.A.
WBGene00014602	WBGene00014602	N.A.	N.A.
WBGene00014603	WBGene00014603	N.A.	N.A.
WBGene00014604	WBGene00014604	N.A.	N.A.
WBGene00014605	WBGene00014605	N.A.	N.A.
WBGene00014606	WBGene00014606	N.A.	N.A.
WBGene00014607	WBGene00014607	N.A.	N.A.
WBGene00014608	WBGene00014608	N.A.	N.A.
WBGene00014609	WBGene00014609	N.A.	N.A.
WBGene00014610	WBGene00014610	N.A.	N.A.
WBGene00014611	WBGene00014611	N.A.	N.A.
WBGene00014612	WBGene00014612	N.A.	N.A.
WBGene00014613	WBGene00014613	N.A.	N.A.
WBGene00014614	WBGene00014614	N.A.	N.A.
WBGene00014615	WBGene00014615	N.A.	N.A.
WBGene00014616	WBGene00014616	N.A.	N.A.
WBGene00014617	WBGene00014617	N.A.	N.A.
WBGene00014618	WBGene00014618	N.A.	N.A.
WBGene00014619	WBGene00014619	N.A.	N.A.
WBGene00014620	WBGene00014620	N.A.	N.A.
WBGene00014621	WBGene00014621	N.A.	N.A.
WBGene00014622	WBGene00014622	N.A.	N.A.
WBGene00014623	WBGene00014623	N.A.	N.A.
WBGene00014624	WBGene00014624	N.A.	N.A.
WBGene00014625	WBGene00014625	N.A.	N.A.
WBGene00014626	WBGene00014626	N.A.	N.A.
WBGene00014627	WBGene00014627	N.A.	N.A.
WBGene00014628	WBGene00014628	N.A.	N.A.
WBGene00014629	WBGene00014629	N.A.	N.A.
WBGene00014630	WBGene00014630	N.A.	N.A.
WBGene00014631	WBGene00014631	N.A.	N.A.
WBGene00014632	WBGene00014632	N.A.	N.A.
WBGene00014633	WBGene00014633	N.A.	N.A.
WBGene00014634	WBGene00014634	N.A.	N.A.
WBGene00014635	WBGene00014635	N.A.	N.A.
WBGene00014636	WBGene00014636	N.A.	N.A.
WBGene00014637	WBGene00014637	N.A.	N.A.
WBGene00014638	WBGene00014638	N.A.	N.A.
WBGene00014639	WBGene00014639	N.A.	N.A.
WBGene00014640	WBGene00014640	N.A.	N.A.
WBGene00014641	WBGene00014641	N.A.	N.A.
WBGene00014643	WBGene00014643	N.A.	N.A.
WBGene00014644	WBGene00014644	N.A.	N.A.
WBGene00014645	WBGene00014645	N.A.	N.A.
WBGene00014646	WBGene00014646	N.A.	N.A.
WBGene00014647	WBGene00014647	N.A.	N.A.
WBGene00014648	WBGene00014648	N.A.	N.A.
WBGene00014649	WBGene00014649	N.A.	N.A.
WBGene00014650	WBGene00014650	N.A.	N.A.
WBGene00014651	WBGene00014651	N.A.	N.A.
WBGene00014652	WBGene00014652	N.A.	N.A.
WBGene00014653	WBGene00014653	N.A.	N.A.
WBGene00014654	WBGene00014654	N.A.	N.A.
WBGene00014655	WBGene00014655	N.A.	N.A.
WBGene00014656	WBGene00014656	N.A.	N.A.
WBGene00014657	WBGene00014657	N.A.	N.A.
WBGene00014658	WBGene00014658	N.A.	N.A.
WBGene00014659	WBGene00014659	N.A.	N.A.
WBGene00014660	WBGene00014660	N.A.	N.A.
WBGene00014663	WBGene00014663	N.A.	N.A.
WBGene00014664	WBGene00014664	N.A.	N.A.
WBGene00014665	WBGene00014665	N.A.	N.A.
WBGene00014666	WBGene00014666	Q2PJ78, Q6A4V9	Q6A4V9
WBGene00014667	WBGene00014667	N.A.	N.A.
WBGene00014668	WBGene00014668	N.A.	N.A.
WBGene00014669	WBGene00014669	A7LPH3, Q6BEU0	Q6BEU0
WBGene00014670	WBGene00014670	N.A.	N.A.
WBGene00014671	WBGene00014671	N.A.	N.A.
WBGene00014672	WBGene00014672	N.A.	N.A.
WBGene00014673	WBGene00014673	N.A.	N.A.
WBGene00014674	WBGene00014674	N.A.	N.A.
WBGene00014675	WBGene00014675	N.A.	N.A.
WBGene00014676	WBGene00014676	N.A.	N.A.
WBGene00014677	WBGene00014677	N.A.	N.A.
WBGene00014678	WBGene00014678	N.A.	N.A.
WBGene00014679	WBGene00014679	Q5WRM5	Q5WRM5
WBGene00014681	WBGene00014681	N.A.	N.A.
WBGene00014682	WBGene00014682	N.A.	N.A.
WBGene00014683	WBGene00014683	N.A.	N.A.
WBGene00014684	WBGene00014684	N.A.	N.A.
WBGene00014685	WBGene00014685	N.A.	N.A.
WBGene00014686	WBGene00014686	N.A.	N.A.
WBGene00014689	WBGene00014689	N.A.	N.A.
WBGene00014691	WBGene00014691	N.A.	N.A.
WBGene00014692	WBGene00014692	N.A.	N.A.
WBGene00014693	WBGene00014693	N.A.	N.A.
WBGene00014694	WBGene00014694	N.A.	N.A.
WBGene00014695	WBGene00014695	N.A.	N.A.
WBGene00014696	WBGene00014696	N.A.	N.A.
WBGene00014697	WBGene00014697	Q1HB05	Q1HB05
WBGene00014698	WBGene00014698	D3YT89	D3YT89
WBGene00014699	WBGene00014699	G8JZP2	G8JZP2
WBGene00014700	WBGene00014700	G8JZP3	G8JZP3
WBGene00014701	WBGene00014701	N.A.	N.A.
WBGene00014702	WBGene00014702	N.A.	N.A.
WBGene00014703	WBGene00014703	N.A.	N.A.
WBGene00014704	WBGene00014704	N.A.	N.A.
WBGene00014705	WBGene00014705	N.A.	N.A.
WBGene00014706	WBGene00014706	N.A.	N.A.
WBGene00014707	WBGene00014707	N.A.	N.A.
WBGene00014708	WBGene00014708	N.A.	N.A.
WBGene00014709	WBGene00014709	N.A.	N.A.
WBGene00014710	WBGene00014710	N.A.	N.A.
WBGene00014711	WBGene00014711	N.A.	N.A.
WBGene00014712	WBGene00014712	N.A.	N.A.
WBGene00014714	WBGene00014714	N.A.	N.A.
WBGene00014715	WBGene00014715	N.A.	N.A.
WBGene00014716	WBGene00014716	N.A.	N.A.
WBGene00014717	WBGene00014717	N.A.	N.A.
WBGene00014718	WBGene00014718	N.A.	N.A.
WBGene00014719	WBGene00014719	N.A.	N.A.
WBGene00014720	WBGene00014720	N.A.	N.A.
WBGene00014721	WBGene00014721	N.A.	N.A.
WBGene00014722	WBGene00014722	N.A.	N.A.
WBGene00014723	WBGene00014723	N.A.	N.A.
WBGene00014724	WBGene00014724	N.A.	N.A.
WBGene00014727	WBGene00014727	N.A.	N.A.
WBGene00014728	WBGene00014728	N.A.	N.A.
WBGene00014729	WBGene00014729	N.A.	N.A.
WBGene00014730	WBGene00014730	N.A.	N.A.
WBGene00014731	WBGene00014731	N.A.	N.A.
WBGene00014732	WBGene00014732	N.A.	N.A.
WBGene00014733	WBGene00014733	N.A.	N.A.
WBGene00014734	WBGene00014734	N.A.	N.A.
WBGene00014735	WBGene00014735	N.A.	N.A.
WBGene00014738	WBGene00014738	N.A.	N.A.
WBGene00014739	WBGene00014739	N.A.	N.A.
WBGene00014740	WBGene00014740	N.A.	N.A.
WBGene00014741	WBGene00014741	N.A.	N.A.
WBGene00014744	WBGene00014744	N.A.	N.A.
WBGene00014745	WBGene00014745	N.A.	N.A.
WBGene00014746	WBGene00014746	N.A.	N.A.
WBGene00014748	WBGene00014748	N.A.	N.A.
WBGene00014751	WBGene00014751	N.A.	N.A.
WBGene00014752	WBGene00014752	N.A.	N.A.
WBGene00014753	WBGene00014753	N.A.	N.A.
WBGene00014754	WBGene00014754	N.A.	N.A.
WBGene00014755	WBGene00014755	N.A.	N.A.
WBGene00014757	WBGene00014757	N.A.	N.A.
WBGene00014758	WBGene00014758	N.A.	N.A.
WBGene00014759	WBGene00014759	N.A.	N.A.
WBGene00014760	WBGene00014760	N.A.	N.A.
WBGene00014761	WBGene00014761	H2FLJ7	H2FLJ7
WBGene00014763	WBGene00014763	N.A.	N.A.
WBGene00014764	WBGene00014764	N.A.	N.A.
WBGene00014766	WBGene00014766	N.A.	N.A.
WBGene00014767	WBGene00014767	N.A.	N.A.
WBGene00014768	WBGene00014768	N.A.	N.A.
WBGene00014769	WBGene00014769	N.A.	N.A.
WBGene00014770	WBGene00014770	N.A.	N.A.
WBGene00014771	WBGene00014771	N.A.	N.A.
WBGene00014772	WBGene00014772	N.A.	N.A.
WBGene00014773	WBGene00014773	N.A.	N.A.
WBGene00014774	WBGene00014774	N.A.	N.A.
WBGene00014775	WBGene00014775	N.A.	N.A.
WBGene00014776	WBGene00014776	N.A.	N.A.
WBGene00014777	WBGene00014777	N.A.	N.A.
WBGene00014778	WBGene00014778	N.A.	N.A.
WBGene00014779	WBGene00014779	N.A.	N.A.
WBGene00014781	WBGene00014781	N.A.	N.A.
WBGene00014782	WBGene00014782	N.A.	N.A.
WBGene00014783	WBGene00014783	N.A.	N.A.
WBGene00014784	WBGene00014784	N.A.	N.A.
WBGene00014785	WBGene00014785	N.A.	N.A.
WBGene00014786	WBGene00014786	N.A.	N.A.
WBGene00014787	WBGene00014787	N.A.	N.A.
WBGene00014788	WBGene00014788	N.A.	N.A.
WBGene00014789	WBGene00014789	N.A.	N.A.
WBGene00014790	WBGene00014790	N.A.	N.A.
WBGene00014793	WBGene00014793	D5MCV5, D5MCV4	D5MCV5
WBGene00014794	WBGene00014794	N.A.	N.A.
WBGene00014795	WBGene00014795	N.A.	N.A.
WBGene00014796	WBGene00014796	N.A.	N.A.
WBGene00014798	WBGene00014798	N.A.	N.A.
WBGene00014799	WBGene00014799	N.A.	N.A.
WBGene00014800	WBGene00014800	N.A.	N.A.
WBGene00014801	WBGene00014801	D9N126	D9N126
WBGene00014803	WBGene00014803	N.A.	N.A.
WBGene00014805	WBGene00014805	N.A.	N.A.
WBGene00014806	WBGene00014806	N.A.	N.A.
WBGene00014807	WBGene00014807	H2FLL2	H2FLL2
WBGene00014809	WBGene00014809	N.A.	N.A.
WBGene00014811	WBGene00014811	N.A.	N.A.
WBGene00014813	WBGene00014813	A0A0S4FT70	A0A0S4FT70
WBGene00014814	WBGene00014814	N.A.	N.A.
WBGene00014817	WBGene00014817	N.A.	N.A.
WBGene00014818	WBGene00014818	N.A.	N.A.
WBGene00014819	WBGene00014819	N.A.	N.A.
WBGene00014820	WBGene00014820	N.A.	N.A.
WBGene00014821	WBGene00014821	N.A.	N.A.
WBGene00014822	WBGene00014822	N.A.	N.A.
WBGene00014824	WBGene00014824	N.A.	N.A.
WBGene00014825	WBGene00014825	N.A.	N.A.
WBGene00014826	WBGene00014826	K8ESK7, A5Z2W3, H9G321	A5Z2W3
WBGene00014827	WBGene00014827	N.A.	N.A.
WBGene00014828	WBGene00014828	N.A.	N.A.
WBGene00014829	WBGene00014829	N.A.	N.A.
WBGene00014831	WBGene00014831	N.A.	N.A.
WBGene00014832	WBGene00014832	N.A.	N.A.
WBGene00014833	WBGene00014833	N.A.	N.A.
WBGene00014834	WBGene00014834	N.A.	N.A.
WBGene00014835	WBGene00014835	N.A.	N.A.
WBGene00014836	WBGene00014836	N.A.	N.A.
WBGene00014837	WBGene00014837	N.A.	N.A.
WBGene00014838	WBGene00014838	N.A.	N.A.
WBGene00014839	WBGene00014839	N.A.	N.A.
WBGene00014841	WBGene00014841	N.A.	N.A.
WBGene00014842	WBGene00014842	N.A.	N.A.
WBGene00014843	WBGene00014843	N.A.	N.A.
WBGene00014844	WBGene00014844	N.A.	N.A.
WBGene00014845	WBGene00014845	N.A.	N.A.
WBGene00014846	WBGene00014846	N.A.	N.A.
WBGene00014847	WBGene00014847	N.A.	N.A.
WBGene00014848	WBGene00014848	A0PD34	A0PD34
WBGene00014849	WBGene00014849	N.A.	N.A.
WBGene00014850	WBGene00014850	N.A.	N.A.
WBGene00014851	WBGene00014851	N.A.	N.A.
WBGene00014852	WBGene00014852	N.A.	N.A.
WBGene00014853	WBGene00014853	N.A.	N.A.
WBGene00014854	WBGene00014854	N.A.	N.A.
WBGene00014855	WBGene00014855	N.A.	N.A.
WBGene00014856	WBGene00014856	N.A.	N.A.
WBGene00014857	WBGene00014857	N.A.	N.A.
WBGene00014858	WBGene00014858	N.A.	N.A.
WBGene00014861	WBGene00014861	N.A.	N.A.
WBGene00014862	WBGene00014862	N.A.	N.A.
WBGene00014863	WBGene00014863	N.A.	N.A.
WBGene00014864	WBGene00014864	N.A.	N.A.
WBGene00014865	WBGene00014865	N.A.	N.A.
WBGene00014866	WBGene00014866	N.A.	N.A.
WBGene00014867	WBGene00014867	N.A.	N.A.
WBGene00014868	WBGene00014868	N.A.	N.A.
WBGene00014869	WBGene00014869	N.A.	N.A.
WBGene00014870	WBGene00014870	N.A.	N.A.
WBGene00014871	WBGene00014871	A5HW97	A5HW97
WBGene00014872	WBGene00014872	N.A.	N.A.
WBGene00014873	WBGene00014873	N.A.	N.A.
WBGene00014874	WBGene00014874	N.A.	N.A.
WBGene00014875	WBGene00014875	N.A.	N.A.
WBGene00014876	WBGene00014876	N.A.	N.A.
WBGene00014877	WBGene00014877	N.A.	N.A.
WBGene00014878	WBGene00014878	N.A.	N.A.
WBGene00014879	WBGene00014879	N.A.	N.A.
WBGene00014880	WBGene00014880	N.A.	N.A.
WBGene00014881	WBGene00014881	N.A.	N.A.
WBGene00014882	WBGene00014882	N.A.	N.A.
WBGene00014883	WBGene00014883	N.A.	N.A.
WBGene00014884	WBGene00014884	N.A.	N.A.
WBGene00014885	WBGene00014885	N.A.	N.A.
WBGene00014886	WBGene00014886	N.A.	N.A.
WBGene00014887	WBGene00014887	N.A.	N.A.
WBGene00014888	WBGene00014888	N.A.	N.A.
WBGene00014889	WBGene00014889	N.A.	N.A.
WBGene00014890	WBGene00014890	N.A.	N.A.
WBGene00014891	WBGene00014891	N.A.	N.A.
WBGene00014892	WBGene00014892	N.A.	N.A.
WBGene00014893	WBGene00014893	N.A.	N.A.
WBGene00014894	WBGene00014894	N.A.	N.A.
WBGene00014895	WBGene00014895	N.A.	N.A.
WBGene00014896	WBGene00014896	N.A.	N.A.
WBGene00014897	WBGene00014897	N.A.	N.A.
WBGene00014898	WBGene00014898	N.A.	N.A.
WBGene00014902	WBGene00014902	N.A.	N.A.
WBGene00014903	WBGene00014903	N.A.	N.A.
WBGene00014904	WBGene00014904	N.A.	N.A.
WBGene00014905	WBGene00014905	N.A.	N.A.
WBGene00014906	WBGene00014906	N.A.	N.A.
WBGene00014907	WBGene00014907	N.A.	N.A.
WBGene00014908	WBGene00014908	N.A.	N.A.
WBGene00014909	WBGene00014909	N.A.	N.A.
WBGene00014910	WBGene00014910	N.A.	N.A.
WBGene00014911	WBGene00014911	N.A.	N.A.
WBGene00014912	WBGene00014912	N.A.	N.A.
WBGene00014914	WBGene00014914	A0A0K2WPR7	A0A0K2WPR7
WBGene00014915	WBGene00014915	N.A.	N.A.
WBGene00014916	WBGene00014916	N.A.	N.A.
WBGene00014917	WBGene00014917	N.A.	N.A.
WBGene00014918	WBGene00014918	N.A.	N.A.
WBGene00014920	WBGene00014920	N.A.	N.A.
WBGene00014921	WBGene00014921	N.A.	N.A.
WBGene00014922	WBGene00014922	N.A.	N.A.
WBGene00014923	WBGene00014923	N.A.	N.A.
WBGene00014924	WBGene00014924	A0A060Q608	A0A060Q608
WBGene00014925	WBGene00014925	N.A.	N.A.
WBGene00014926	WBGene00014926	I2HAH5, I2HAH7	I2HAH7
WBGene00014927	WBGene00014927	N.A.	N.A.
WBGene00014928	WBGene00014928	N.A.	N.A.
WBGene00014929	WBGene00014929	N.A.	N.A.
WBGene00014930	WBGene00014930	N.A.	N.A.
WBGene00014931	WBGene00014931	N.A.	N.A.
WBGene00014932	WBGene00014932	N.A.	N.A.
WBGene00014933	WBGene00014933	N.A.	N.A.
WBGene00014934	WBGene00014934	N.A.	N.A.
WBGene00014935	WBGene00014935	N.A.	N.A.
WBGene00014936	WBGene00014936	N.A.	N.A.
WBGene00014937	WBGene00014937	N.A.	N.A.
WBGene00014938	WBGene00014938	Q0KHC0	N.A.
WBGene00014939	WBGene00014939	N.A.	N.A.
WBGene00014940	WBGene00014940	N.A.	N.A.
WBGene00014941	WBGene00014941	N.A.	N.A.
WBGene00014943	WBGene00014943	N.A.	N.A.
WBGene00014944	WBGene00014944	N.A.	N.A.
WBGene00014945	WBGene00014945	N.A.	N.A.
WBGene00014946	WBGene00014946	N.A.	N.A.
WBGene00014947	WBGene00014947	N.A.	N.A.
WBGene00014948	WBGene00014948	N.A.	N.A.
WBGene00014949	WBGene00014949	N.A.	N.A.
WBGene00014950	WBGene00014950	N.A.	N.A.
WBGene00014951	WBGene00014951	N.A.	N.A.
WBGene00014952	WBGene00014952	N.A.	N.A.
WBGene00014953	WBGene00014953	D6VPA9	D6VPA9
WBGene00014954	WBGene00014954	N.A.	N.A.
WBGene00014955	WBGene00014955	N.A.	N.A.
WBGene00014956	WBGene00014956	N.A.	N.A.
WBGene00014957	WBGene00014957	N.A.	N.A.
WBGene00014958	WBGene00014958	N.A.	N.A.
WBGene00014961	WBGene00014961	N.A.	N.A.
WBGene00014962	WBGene00014962	N.A.	N.A.
WBGene00014963	WBGene00014963	N.A.	N.A.
WBGene00014964	WBGene00014964	N.A.	N.A.
WBGene00014965	WBGene00014965	A0A0K2WNK1, A0A0K2WN06	A0A0K2WNK1
WBGene00014966	WBGene00014966	N.A.	N.A.
WBGene00014967	WBGene00014967	N.A.	N.A.
WBGene00014969	WBGene00014969	N.A.	N.A.
WBGene00014970	WBGene00014970	N.A.	N.A.
WBGene00014971	WBGene00014971	N.A.	N.A.
WBGene00014972	WBGene00014972	N.A.	N.A.
WBGene00014973	WBGene00014973	N.A.	N.A.
WBGene00014974	WBGene00014974	N.A.	N.A.
WBGene00014975	WBGene00014975	N.A.	N.A.
WBGene00014976	WBGene00014976	N.A.	N.A.
WBGene00014977	WBGene00014977	N.A.	N.A.
WBGene00014978	WBGene00014978	N.A.	N.A.
WBGene00014979	WBGene00014979	N.A.	N.A.
WBGene00014980	WBGene00014980	N.A.	N.A.
WBGene00014981	WBGene00014981	N.A.	N.A.
WBGene00014983	WBGene00014983	N.A.	N.A.
WBGene00014984	WBGene00014984	N.A.	N.A.
WBGene00014987	WBGene00014987	N.A.	N.A.
WBGene00014989	WBGene00014989	A5JYR2	A5JYR2
WBGene00014990	WBGene00014990	N.A.	N.A.
WBGene00014991	WBGene00014991	N.A.	N.A.
WBGene00014992	WBGene00014992	N.A.	N.A.
WBGene00014993	WBGene00014993	N.A.	N.A.
WBGene00014994	WBGene00014994	N.A.	N.A.
WBGene00014996	WBGene00014996	N.A.	N.A.
WBGene00014997	WBGene00014997	Q7JNR0	Q7JNR0
WBGene00014998	WBGene00014998	Q10904	Q10904
WBGene00014999	WBGene00014999	Q10906	Q10906
WBGene00015000	WBGene00015000	Q10907	Q10907
WBGene00015001	WBGene00015001	Q8WQC3	Q8WQC3
WBGene00015002	WBGene00015002	Q10910	Q10910
WBGene00015003	WBGene00015003	Q10903	Q10903
WBGene00015004	WBGene00015004	Q10912	Q10912
WBGene00015005	WBGene00015005	A0A7I9HS13	A0A7I9HS13
WBGene00015006	WBGene00015006	O02060	O02060
WBGene00015007	WBGene00015007	A0A2C9C2E8, A0A2C9C358, H2KY59, Q95R18, H2KY58, H2KY60, A0A2C9C2L0	H2KY58
WBGene00015008	WBGene00015008	O02055	O02055
WBGene00015009	WBGene00015009	O02057, A0A2K5ATJ4	O02057
WBGene00015010	WBGene00015010	O02058	O02058
WBGene00015011	WBGene00015011	Q95R19	Q95R19
WBGene00015012	WBGene00015012	H2KY61	H2KY61
WBGene00015013	WBGene00015013	N.A.	N.A.
WBGene00015014	WBGene00015014	O16566	O16566
WBGene00015015	WBGene00015015	O16567	O16567
WBGene00015016	WBGene00015016	N.A.	N.A.
WBGene00015017	WBGene00015017	Q2MGE6, H2KY62	H2KY62
WBGene00015018	WBGene00015018	H2KY63, Q5F4U1	Q5F4U1
WBGene00015019	WBGene00015019	O61739	O61739
WBGene00015020	WBGene00015020	O61740	O61740
WBGene00015021	WBGene00015021	O61741	O61741
WBGene00015022	WBGene00015022	O61743	O61743
WBGene00015023	WBGene00015023	O61745	O61745
WBGene00015024	WBGene00015024	O61747	O61747
WBGene00015025	WBGene00015025	Q95X39	Q95X39
WBGene00015026	WBGene00015026	O01435	O01435
WBGene00015027	WBGene00015027	O01431	O01431
WBGene00015028	WBGene00015028	A0A078BQN0, A0A078BTN1	A0A078BTN1
WBGene00015029	WBGene00015029	O01426	O01426
WBGene00015030	WBGene00015030	O01429	O01429
WBGene00015032	WBGene00015032	O01432	O01432
WBGene00015033	WBGene00015033	O01433	O01433
WBGene00015034	WBGene00015034	O01434	O01434
WBGene00015035	WBGene00015035	U4PBH5, U4PEQ1, O45067	U4PEQ1
WBGene00015036	WBGene00015036	Q5CCI4	Q5CCI4
WBGene00015037	WBGene00015037	O45063	O45063
WBGene00015038	WBGene00015038	U4PBV2, Q95X47, H2KY64, Q5TKB1	Q95X47
WBGene00015039	WBGene00015039	N.A.	N.A.
WBGene00015040	WBGene00015040	O44655	O44655
WBGene00015041	WBGene00015041	A0A164D3C9, O44656, H1ZUV4	O44656
WBGene00015042	WBGene00015042	O44657	O44657
WBGene00015043	WBGene00015043	O44658	O44658
WBGene00015044	WBGene00015044	H2KY69, Q2MGF0, A0A168H3M4, H2KY68	H2KY69
WBGene00015045	WBGene00015045	O61204	O61204
WBGene00015046	WBGene00015046	Q8MNX6	Q8MNX6
WBGene00015047	WBGene00015047	Q17449	Q17449
WBGene00015048	WBGene00015048	Q17447	Q17447
WBGene00015049	WBGene00015049	Q17448	Q17448
WBGene00015050	WBGene00015050	Q17450, W6RTE8	Q17450
WBGene00015051	WBGene00015051	Q17451	Q17451
WBGene00015052	WBGene00015052	Q17452	Q17452
WBGene00015053	WBGene00015053	Q17453	Q17453
WBGene00015054	WBGene00015054	Q17454	Q17454
WBGene00015055	WBGene00015055	Q17455	Q17455
WBGene00015056	WBGene00015056	Q17457	Q17457
WBGene00015057	WBGene00015057	Q960A1	Q960A1
WBGene00015058	WBGene00015058	N.A.	N.A.
WBGene00015059	WBGene00015059	Q09220	Q09220
WBGene00015061	WBGene00015061	Q09221	Q09221
WBGene00015062	WBGene00015062	Q09433	Q09433
WBGene00015063	WBGene00015063	Q09223	Q09223
WBGene00015064	WBGene00015064	Q09438	Q09438
WBGene00015065	WBGene00015065	Q09224	Q09224
WBGene00015066	WBGene00015066	Q09439	Q09439
WBGene00015067	WBGene00015067	O16497	O16497
WBGene00015068	WBGene00015068	O16494	O16494
WBGene00015069	WBGene00015069	O16492	O16492
WBGene00015070	WBGene00015070	O16491	O16491
WBGene00015071	WBGene00015071	O16490	O16490
WBGene00015072	WBGene00015072	O16489	O16489
WBGene00015073	WBGene00015073	O16485	O16485
WBGene00015074	WBGene00015074	O16486	O16486
WBGene00015075	WBGene00015075	O16487	O16487
WBGene00015076	WBGene00015076	O16488	O16488
WBGene00015077	WBGene00015077	N.A.	N.A.
